State,City,Lat,Lon
AL,Sheffield,34.7650887,-87.6986407
AL,Smiths station,32.5401393,-85.09854729999999
AL,Southside,33.9245425,-86.02247179999999
AL,Spanish fort,30.671469,-87.90188289999999
AL,Sylacauga,33.1731716,-86.2516406
AL,Talladega,33.4359416,-86.1058048
AL,Tarrant,33.586822,-86.7718017
AL,Troy,31.8087678,-85.969951
AL,Trussville,33.6198251,-86.60887559999999
AL,Tuscaloosa,33.2098407,-87.56917349999999
AL,Tuscumbia,34.7312005,-87.70253
AL,Tuskegee,32.430237,-85.7077266
AL,Valley,32.8187406,-85.1793852
AL,Vestavia hills,33.4487183,-86.7877668
AL,Wetumpka,32.5437448,-86.2119127
AK,Anchorage,61.2180556,-149.9002778
AK,Bethel,60.7922222,-161.7558334
AK,Fairbanks,64.8377778,-147.7163888
AK,Homer,59.64250000000001,-151.5483333
AK,Juneau city and,58.3019444,-134.4197221
AK,Kenai,60.55444439999999,-151.2583333
AK,Ketchikan,55.34222219999999,-131.6461112
AK,Kodiak,57.79000000000001,-152.4072221
AK,Palmer,61.5997222,-149.1127777
AK,Sitka city and,57.0530556,-135.33
AK,Wasilla,61.5813889,-149.4394444
AZ,Apache junction,33.4150485,-111.5495777
AZ,Avondale,33.4355977,-112.3496021
AZ,Bisbee,31.4481547,-109.9284084
AZ,Buckeye,33.3703197,-112.5837766
AZ,Bullhead city,35.1359386,-114.5285981
AZ,Camp verde,34.5636358,-111.8543178
AZ,Casa grande,32.9110027,-111.7733902
AZ,Cave creek,33.8333716,-111.9507042
AZ,Chandler,33.3061605,-111.8412502
AZ,Chino valley,34.7575227,-112.4537809
AZ,Coolidge,32.977839,-111.517624
AZ,Cottonwood,34.7391876,-112.0098791
AZ,Douglas,31.3445471,-109.5453447
AZ,El mirage,33.6130942,-112.3246042
AZ,Eloy,32.7558962,-111.554844
AZ,Flagstaff,35.1982836,-111.651302
AZ,Florence,33.0314508,-111.3873431
AZ,Fountain hills,33.6042079,-111.7256936
AZ,Gilbert,33.3528264,-111.789027
AZ,Glendale,33.5386523,-112.1859866
AZ,Globe,33.3942223,-110.7864984
AZ,Goodyear,33.4353394,-112.3576567
AZ,Holbrook,34.9022482,-110.1581768
AZ,Kingman,35.189443,-114.0530065
AZ,Lake havasu city,34.483901,-114.3224548
AZ,Litchfield park,33.4933743,-112.3579364
AZ,Marana,32.436381,-111.2224422
AZ,Maricopa,33.0581063,-112.0476423
AZ,Mesa,33.4151843,-111.8314724
AZ,Nogales,31.3403775,-110.9342532
AZ,Page,36.91472220000001,-111.4558333
AZ,Paradise valley,33.5311541,-111.9426452
AZ,Payson,34.2308684,-111.3251355
AZ,Peoria,33.5805955,-112.2373779
AZ,Phoenix,33.4483771,-112.0740373
AZ,Prescott,34.5400242,-112.4685025
AZ,Prescott valley,34.6100243,-112.315721
AZ,Safford,32.8339546,-109.70758
AZ,Sahuarita,31.9575818,-110.955646
AZ,San luis,32.4869996,-114.7821796
AZ,Scottsdale,33.4941704,-111.9260519
AZ,Sedona,34.8697395,-111.7609896
AZ,Show low,34.2542084,-110.0298327
AZ,Sierra vista,31.5455001,-110.2772856
AZ,Snowflake,34.5133698,-110.0784491
AZ,Somerton,32.5964404,-114.709677
AZ,Surprise,33.6292337,-112.3679279
AZ,Tempe,33.4255104,-111.9400054
AZ,Thatcher,32.8492323,-109.7592479
AZ,Tolleson,33.4500425,-112.259321
AZ,Tucson,32.2226066,-110.9747108
AZ,Wickenburg,33.9697664,-112.7301882
AZ,Winslow,35.0241873,-110.6973571
AZ,Youngtown,33.5939281,-112.3029362
AZ,Yuma,32.6926512,-114.6276916
AR,Alma,35.4778653,-94.2218752
AR,Arkadelphia,34.1209292,-93.0537839
AR,Batesville,35.769799,-91.6409721
AR,Beebe,35.0706423,-91.8795856
AR,Bella vista,36.481464,-94.2732642
AR,Benton,34.5645371,-92.586828
AR,Bentonville,36.3728538,-94.2088172
AR,Berryville,36.364792,-93.5679667
AR,Blytheville,35.9272953,-89.9189753
AR,Bryant,34.5959265,-92.48904689999999
AR,Cabot,34.974532,-92.0165336
AR,Camden,33.5845581,-92.8343294
AR,Centerton,36.359799,-94.2852085
AR,Clarksville,35.4714724,-93.46657309999999
AR,Conway,35.0886963,-92.4421011
AR,Crossett,33.1281779,-91.9612427
AR,El dorado,33.20763,-92.6662674
AR,Farmington,36.0420248,-94.2471515
AR,Fayetteville,36.082156,-94.17185420000001
AR,Forrest city,35.0081474,-90.7898342
AR,Fort smith,35.3859242,-94.39854749999999
AR,Greenbrier,35.2339712,-92.387655
AR,Greenwood,35.2156489,-94.25576629999999
AR,Harrison,36.2297936,-93.1076765
AR,Heber springs,35.4914677,-92.03125999999999
AR,Hope,33.6670615,-93.5915665
AR,Jacksonville,34.8662005,-92.1101458
AR,Jonesboro,35.84229670000001,-90.704279
AR,Little rock,34.7464809,-92.28959479999999
AR,Lowell,36.2553543,-94.1307587
AR,Magnolia,33.2670725,-93.239334
AR,Malvern,34.3623149,-92.81294620000001
AR,Marion,35.2145336,-90.1964835
AR,Maumelle,34.8667565,-92.4043219
AR,Mena,34.5862171,-94.23965539999999
AR,Monticello,33.6289974,-91.7909639
AR,Morrilton,35.1509173,-92.74405379999999
AR,Newport,35.6048018,-91.2817951
AR,North little rock,34.769536,-92.2670941
AR,Osceola,35.7050778,-89.96953200000002
AR,Paragould,36.0584021,-90.4973286
AR,Pea ridge,36.4539625,-94.1152041
AR,Pine bluff,34.2284312,-92.00319549999999
AR,Pocahontas,36.2614554,-90.97123300000001
AR,Prairie grove,35.9759145,-94.3177103
AR,Rogers,36.3320196,-94.1185366
AR,Russellville,35.2784173,-93.1337856
AR,Searcy,35.2468204,-91.73368459999999
AR,Sherwood,34.8150907,-92.2243153
AR,Siloam springs,36.1881365,-94.54049619999999
AR,Springdale,36.18674420000001,-94.1288141
AR,Stuttgart,34.5003748,-91.5526281
AR,Texarkana,33.4417915,-94.0376881
AR,Trumann,35.6736895,-90.5073285
AR,Van buren,35.436756,-94.34826799999999
AR,Warren,33.6126086,-92.064583
AR,West memphis,35.1464797,-90.1845388
AR,White hall,34.2739862,-92.09097659999999
AR,Wynne,35.224533,-90.78677979999999
CA,Adelanto,34.5827699,-117.409215
CA,Agoura hills,34.1533395,-118.7616764
CA,Alameda,37.7652065,-122.2416355
CA,Albany,37.88687,-122.2977475
CA,Alhambra,34.095287,-118.1270146
CA,Aliso viejo,33.5684605,-117.7262981
CA,American canyon,38.1749178,-122.2608044
CA,Anaheim,33.8365932,-117.9143012
CA,Anderson,40.448208,-122.2977815
CA,Antioch,38.0049214,-121.805789
CA,Apple valley,34.5008311,-117.1858759
CA,Arcadia,34.1397292,-118.0353449
CA,Arcata,40.8665166,-124.0828396
CA,Arroyo grande,35.1185868,-120.5907252
CA,Artesia,33.8658484,-118.0831212
CA,Arvin,35.2017986,-118.833105
CA,Atascadero,35.4894169,-120.6707255
CA,Atherton,37.4613272,-122.197743
CA,Atwater,37.3477174,-120.609084
CA,Auburn,38.8965654,-121.0768901
CA,Avenal,36.0041223,-120.1290272
CA,Azusa,34.1336186,-117.9075627
CA,Bakersfield,35.3732921,-119.0187125
CA,Baldwin park,34.0852868,-117.9608978
CA,Banning,33.9255713,-116.8764103
CA,Barstow,34.8957957,-117.0172826
CA,Beaumont,33.9294606,-116.977248
CA,Bell,33.9775142,-118.1870156
CA,Bellflower,33.8816818,-118.1170117
CA,Bell gardens,33.9652918,-118.1514588
CA,Belmont,37.5202145,-122.2758008
CA,Benicia,38.049365,-122.1585777
CA,Berkeley,37.8715926,-122.272747
CA,Beverly hills,34.0736204,-118.4003563
CA,Big bear lake,34.2438963,-116.9114215
CA,Blythe,33.6177725,-114.5882607
CA,Brawley,32.9786566,-115.530267
CA,Brea,33.916475,-117.9002918
CA,Brentwood,37.931868,-121.6957863
CA,Buellton,34.613597,-120.1926505
CA,Buena park,33.8674044,-117.9981387
CA,Burbank,34.1808392,-118.3089661
CA,Burlingame,37.5778696,-122.34809
CA,Calabasas,34.1367208,-118.6614809
CA,Calexico,32.6789476,-115.4988834
CA,California city,35.125801,-117.9859038
CA,Calimesa,34.0039039,-117.0619755
CA,Calipatria,33.1255957,-115.5141538
CA,Calistoga,38.5787965,-122.5797054
CA,Camarillo,34.2163937,-119.0376023
CA,Campbell,37.2871651,-121.9499568
CA,Capitola,36.9752283,-121.953293
CA,Carlsbad,33.1580933,-117.3505939
CA,Carpinteria,34.39888380000001,-119.5184564
CA,Carson,33.8316745,-118.281693
CA,Cathedral city,33.7805388,-116.4668036
CA,Ceres,37.5949316,-120.9577098
CA,Cerritos,33.8583483,-118.0647871
CA,Chico,39.7284944,-121.8374777
CA,Chino,34.0122346,-117.688944
CA,Chino hills,33.9898188,-117.7325848
CA,Chowchilla,37.1229997,-120.2601754
CA,Chula vista,32.6400541,-117.0841955
CA,Citrus heights,38.7071247,-121.2810611
CA,Claremont,34.0966764,-117.7197785
CA,Clayton,37.9410341,-121.9357925
CA,Clearlake,38.9582307,-122.6263728
CA,Cloverdale,38.8054624,-123.0172227
CA,Clovis,36.8252277,-119.7029194
CA,Coachella,33.6803003,-116.173894
CA,Coalinga,36.139678,-120.3601496
CA,Colton,34.0739016,-117.3136547
CA,Colusa,39.2143343,-122.0094175
CA,Compton,33.8958492,-118.2200712
CA,Concord,37.9779776,-122.0310733
CA,Corcoran,36.098007,-119.5604015
CA,Corning,39.9276572,-122.1791556
CA,Corona,33.8752935,-117.5664384
CA,Coronado,32.6858853,-117.1830891
CA,Corte madera,37.9254806,-122.5274755
CA,Costa mesa,33.6412156,-117.9188221
CA,Cotati,38.3293416,-122.7096666
CA,Covina,34.0900091,-117.8903397
CA,Crescent city,41.7557501,-124.2025913
CA,Cudahy,33.9605701,-118.1853486
CA,Culver city,34.0211224,-118.3964665
CA,Cupertino,37.3229978,-122.0321823
CA,Cypress,33.8169366,-118.0368507
CA,Daly city,37.6879241,-122.4702079
CA,Dana point,33.4672256,-117.6981014
CA,Danville,37.8215929,-121.9999606
CA,Davis,38.5449065,-121.7405167
CA,Delano,35.7688425,-119.2470536
CA,Desert hot springs,33.961124,-116.5016784
CA,Diamond bar,34.0286226,-117.8103367
CA,Dinuba,36.5432837,-119.3870656
CA,Dixon,38.4454641,-121.8232958
CA,Dos palos,36.9860582,-120.6265722
CA,Downey,33.9401088,-118.1331593
CA,Duarte,34.1394513,-117.9772873
CA,Dublin,37.7021521,-121.9357918
CA,El cajon,32.7947731,-116.9625269
CA,El centro,32.792,-115.5630514
CA,El cerrito,37.9161326,-122.310765
CA,Elk grove,38.4087993,-121.3716178
CA,El monte,34.0686206,-118.0275667
CA,El segundo,33.9191799,-118.4164652
CA,Emeryville,37.831316,-122.2852473
CA,Encinitas,33.0369867,-117.2919818
CA,Escalon,37.7974273,-120.9966033
CA,Escondido,33.1192068,-117.086421
CA,Eureka,40.8020712,-124.1636729
CA,Exeter,36.2960613,-119.1420517
CA,Fairfax,37.9871454,-122.5888686
CA,Fairfield,38.24935809999999,-122.0399663
CA,Farmersville,36.2977283,-119.2067767
CA,Fillmore,34.3991639,-118.918154
CA,Firebaugh,36.8588376,-120.4560072
CA,Folsom,38.6779591,-121.1760583
CA,Fontana,34.0922335,-117.435048
CA,Fort bragg,39.445723,-123.8052935
CA,Fortuna,40.5981867,-124.1572756
CA,Fountain valley,33.7090212,-117.9544069
CA,Fowler,36.6305058,-119.6784697
CA,Fremont,37.5482697,-121.9885719
CA,Fresno,36.7377981,-119.7871247
CA,Fullerton,33.8703645,-117.9242123
CA,Galt,38.2546373,-121.2999485
CA,Gardena,33.8883487,-118.3089624
CA,Garden grove,33.7742692,-117.9379952
CA,Gilroy,37.0057816,-121.5682751
CA,Glendale,34.1425078,-118.255075
CA,Glendora,34.1361187,-117.865339
CA,Gonzales,36.5066295,-121.4443806
CA,Grand terrace,34.0339031,-117.3136544
CA,Grass valley,39.2190608,-121.0610606
CA,Greenfield,36.3207998,-121.2438138
CA,Gridley,39.3637773,-121.6935833
CA,Grover beach,35.1216424,-120.6212821
CA,Guadalupe,34.971644,-120.5718363
CA,Gustine,37.2577171,-120.9988154
CA,Half moon bay,37.4635519,-122.4285862
CA,Hanford,36.3274502,-119.6456844
CA,Hawaiian gardens,33.8314045,-118.0728424
CA,Hawthorne,33.9164032,-118.3525748
CA,Hayward,37.6688205,-122.0807964
CA,Healdsburg,38.6104658,-122.8691609
CA,Hemet,33.7475203,-116.9719684
CA,Hercules,38.0171441,-122.2885808
CA,Hermosa beach,33.8622366,-118.3995194
CA,Hesperia,34.4263886,-117.3008784
CA,Highland,34.1283442,-117.2086513
CA,Hillsborough,37.5741032,-122.3794163
CA,Hollister,36.8524545,-121.4016021
CA,Holtville,32.8111612,-115.3802643
CA,Hughson,37.6027244,-120.8664811
CA,Huntington beach,33.6594835,-117.9988026
CA,Huntington park,33.9816812,-118.2250725
CA,Huron,36.2027308,-120.1029177
CA,Imperial,32.8475528,-115.5694391
CA,Imperial beach,32.5839444,-117.1130849
CA,Indian wells,33.717631,-116.3407549
CA,Indio,33.7205771,-116.2155619
CA,Inglewood,33.9616801,-118.3531311
CA,Ione,38.3526912,-120.9327177
CA,Irvine,33.6845673,-117.8265049
CA,Kerman,36.72355719999999,-120.059879
CA,King city,36.2127439,-121.1260287
CA,Kingsburg,36.5138398,-119.5540175
CA,Lafayette,37.8857582,-122.1180201
CA,Laguna beach,33.5427189,-117.7853568
CA,Laguna hills,33.5916433,-117.6986604
CA,Laguna niguel,33.5236744,-117.7149438
CA,Laguna woods,33.6101702,-117.7251162
CA,La habra,33.9318591,-117.946137
CA,La habra heights,33.9608461,-117.9506186
CA,Lake elsinore,33.6680772,-117.3272615
CA,Lake forest,33.6469437,-117.6861023
CA,Lakewood,33.8536269,-118.1339563
CA,Lancaster,34.6867846,-118.1541632
CA,La palma,33.8463218,-118.0461393
CA,La puente,34.0200114,-117.9495083
CA,La quinta,33.6633573,-116.3100095
CA,Larkspur,37.9340915,-122.5352539
CA,Lathrop,37.8227046,-121.27661
CA,La verne,34.1008426,-117.7678355
CA,Lawndale,33.887237,-118.3525744
CA,Lemon grove,32.7425516,-117.0314172
CA,Lemoore,36.3007835,-119.7829107
CA,Lincoln,38.891565,-121.2930079
CA,Lindsay,36.2030064,-119.08816
CA,Live oak,39.2757232,-121.6599701
CA,Livermore,37.6818745,-121.7680088
CA,Livingston,37.3868826,-120.7235329
CA,Lodi,38.1341477,-121.2722194
CA,Loma linda,34.0483474,-117.2611527
CA,Lomita,33.7922392,-118.3150722
CA,Lompoc,34.6391501,-120.4579409
CA,Long beach,33.7700504,-118.1937395
CA,Loomis,38.8212889,-121.1930041
CA,Los alamitos,33.8032009,-118.0718894
CA,Los altos,37.3852183,-122.1141298
CA,Los altos hills,37.3796627,-122.1374637
CA,Los angeles,34.0522342,-118.2436849
CA,Los banos,37.0582786,-120.8499151
CA,Los gatos,37.2358078,-121.9623751
CA,Lynwood,33.930293,-118.2114603
CA,Mcfarland,35.6780104,-119.2292748
CA,Madera,36.9613356,-120.0607176
CA,Malibu,34.0259216,-118.7797571
CA,Mammoth lakes,37.648546,-118.972079
CA,Manhattan beach,33.8847361,-118.4109089
CA,Manteca,37.7974273,-121.2160526
CA,Marina,36.68440289999999,-121.802173
CA,Martinez,38.0193657,-122.1341321
CA,Marysville,39.1457253,-121.5913547
CA,Maywood,33.9866807,-118.185349
CA,Mendota,36.7535611,-120.3815574
CA,Menifee,33.6971468,-117.185294
CA,Menlo park,37.4529598,-122.1817252
CA,Merced,37.3021632,-120.4829677
CA,Millbrae,37.5985468,-122.3871942
CA,Mill valley,37.9060368,-122.5449763
CA,Milpitas,37.4323341,-121.8995741
CA,Modesto,37.63909719999999,-120.9968782
CA,Monrovia,34.1442616,-118.0019482
CA,Montclair,34.0775104,-117.6897776
CA,Montebello,34.0165053,-118.1137535
CA,Monterey,36.6002378,-121.8946761
CA,Monterey park,34.0625106,-118.1228476
CA,Moraga,37.8349263,-122.1296871
CA,Moreno valley,33.9424658,-117.2296717
CA,Morgan hill,37.1305012,-121.6543901
CA,Morro bay,35.3659445,-120.8499924
CA,Mountain view,37.3860517,-122.0838511
CA,Murrieta,33.5539143,-117.2139232
CA,Napa,38.2975381,-122.286865
CA,National city,32.6781085,-117.0991967
CA,Newark,37.5296593,-122.0402399
CA,Newman,37.3138267,-121.0207614
CA,Newport beach,33.6188829,-117.9298493
CA,Norco,33.9311257,-117.548661
CA,Norwalk,33.9022367,-118.081733
CA,Novato,38.1074198,-122.5697032
CA,Oakdale,37.7665947,-120.8471545
CA,Oakland,37.8043637,-122.2711137
CA,Oakley,37.9974219,-121.7124536
CA,Oceanside,33.1958696,-117.3794834
CA,Ojai,34.4480495,-119.242889
CA,Ontario,34.0633443,-117.6508876
CA,Orange,33.7879139,-117.8531007
CA,Orange cove,36.624394,-119.3137301
CA,Orinda,37.8771476,-122.1796888
CA,Orland,39.7473803,-122.1963748
CA,Oroville,39.5137752,-121.556359
CA,Oxnard,34.1975048,-119.1770516
CA,Pacifica,37.6138253,-122.4869194
CA,Pacific grove,36.6177374,-121.9166215
CA,Palmdale,34.5794343,-118.1164613
CA,Palm desert,33.7222445,-116.3744556
CA,Palm springs,33.8302961,-116.5452921
CA,Palo alto,37.4418834,-122.1430195
CA,Palos verdes estates,33.8005714,-118.3900737
CA,Paradise,39.7596061,-121.6219177
CA,Paramount,33.8894598,-118.1597911
CA,Parlier,36.6116174,-119.5270734
CA,Pasadena,34.1477849,-118.1445155
CA,Patterson,37.4716001,-121.129656
CA,Perris,33.7825194,-117.2286478
CA,Petaluma,38.232417,-122.6366524
CA,Pico rivera,33.9830688,-118.096735
CA,Piedmont,37.8243715,-122.231635
CA,Pinole,38.0043667,-122.2988587
CA,Pismo beach,35.1427533,-120.6412827
CA,Pittsburg,38.0279762,-121.8846806
CA,Placentia,33.8710729,-117.8627548
CA,Placerville,38.7296252,-120.798546
CA,Pleasant hill,37.9479786,-122.0607963
CA,Pleasanton,37.6624312,-121.8746789
CA,Pomona,34.055103,-117.7499909
CA,Porterville,36.06523,-119.0167679
CA,Port hueneme,34.1477829,-119.1951074
CA,Poway,32.9628232,-117.0358646
CA,Rancho cordova,38.5890723,-121.302728
CA,Rancho cucamonga,34.10639889999999,-117.5931084
CA,Rancho mirage,33.739744,-116.41279
CA,Rancho palos verdes,33.7444613,-118.3870173
CA,Rancho santa margarita,33.640171,-117.602832
CA,Red bluff,40.1784886,-122.2358302
CA,Redding,40.5865396,-122.3916754
CA,Redlands,34.0555693,-117.1825381
CA,Redondo beach,33.8491816,-118.3884078
CA,Redwood city,37.48521520000001,-122.2363548
CA,Reedley,36.5963395,-119.4504029
CA,Rialto,34.1064001,-117.3703235
CA,Richmond,37.9357576,-122.3477486
CA,Ridgecrest,35.6224561,-117.6708966
CA,Rio vista,38.1557502,-121.6913439
CA,Ripon,37.7394537,-121.1354141
CA,Riverbank,37.7360396,-120.9354895
CA,Riverside,33.9806005,-117.3754942
CA,Rocklin,38.7907339,-121.2357828
CA,Rohnert park,38.3396367,-122.7010984
CA,Rolling hills estates,33.7877943,-118.3581284
CA,Rosemead,34.0805651,-118.072846
CA,Roseville,38.7521235,-121.2880059
CA,Sacramento,38.5815719,-121.4943996
CA,St. helena,38.5052429,-122.4703868
CA,Salinas,36.6777372,-121.6555013
CA,San anselmo,37.9746458,-122.5616448
CA,San bernardino,34.1083449,-117.2897652
CA,San bruno,37.6304904,-122.4110835
CA,San carlos,37.5071591,-122.2605222
CA,San clemente,33.4273521,-117.6126004
CA,San diego,32.715738,-117.1610838
CA,San dimas,34.1066756,-117.8067257
CA,San fernando,34.2819461,-118.4389719
CA,San francisco,37.7749295,-122.4194155
CA,San gabriel,34.09611110000001,-118.1058333
CA,Sanger,36.708006,-119.5559652
CA,San jacinto,33.7839084,-116.958635
CA,San jose,37.3382082,-121.8863286
CA,San juan capistrano,33.5019027,-117.6627655
CA,San leandro,37.7249296,-122.1560768
CA,San luis obispo,35.2827524,-120.6596156
CA,San marcos,33.1433723,-117.1661449
CA,San marino,34.121397,-118.1064585
CA,San mateo,37.5629917,-122.3255254
CA,San pablo,37.9621457,-122.3455263
CA,San rafael,37.9735346,-122.5310874
CA,San ramon,37.7799273,-121.9780153
CA,Santa ana,33.7454725,-117.867653
CA,Santa barbara,34.4208305,-119.6981901
CA,Santa clara,37.3541079,-121.9552356
CA,Santa clarita,34.3916641,-118.542586
CA,Santa cruz,36.9741171,-122.0307963
CA,Santa fe springs,33.9472359,-118.0853451
CA,Santa maria,34.9530337,-120.4357191
CA,Santa monica,34.0194543,-118.4911912
CA,Santa paula,34.3541659,-119.0592705
CA,Santa rosa,38.440429,-122.7140548
CA,Santee,32.8383828,-116.9739167
CA,Saratoga,37.2638324,-122.0230146
CA,Sausalito,37.8590937,-122.4852507
CA,Scotts valley,37.0510595,-122.0146841
CA,Seal beach,33.7414085,-118.1047682
CA,Seaside,36.6149217,-121.822098
CA,Sebastopol,38.4021359,-122.8238806
CA,Selma,36.5707838,-119.6120765
CA,Shafter,35.5005139,-119.2717761
CA,Shasta lake,40.6804279,-122.3708419
CA,Sierra madre,34.1616729,-118.0528456
CA,Solana beach,32.991155,-117.2711481
CA,Soledad,36.424687,-121.3263187
CA,Solvang,34.5958201,-120.1376481
CA,Sonoma,38.291859,-122.4580356
CA,South lake tahoe,38.939926,-119.9771868
CA,South san francisco,37.654656,-122.4077498
CA,Stanton,33.8028875,-117.9931203
CA,Stockton,37.9577016,-121.2907796
CA,Suisun city,38.2382474,-122.040244
CA,Sunnyvale,37.36883,-122.0363496
CA,Susanville,40.4162842,-120.6530063
CA,Taft,35.1424671,-119.4565078
CA,Tehachapi,35.1321877,-118.4489739
CA,Temecula,33.4936391,-117.1483648
CA,Temple city,34.1072305,-118.0578456
CA,Tiburon,37.8735377,-122.4566392
CA,Torrance,33.8358492,-118.3406288
CA,Tracy,37.7396513,-121.4252227
CA,Truckee,39.327962,-120.1832533
CA,Tulare,36.2077288,-119.3473379
CA,Turlock,37.4946568,-120.8465941
CA,Tustin,33.7420005,-117.8236391
CA,Twentynine palms,34.1355582,-116.0541689
CA,Ukiah,39.1501709,-123.2077831
CA,Union city,37.5933918,-122.0438298
CA,Upland,34.09751,-117.6483876
CA,Vacaville,38.3565773,-121.9877444
CA,Vallejo,38.1040864,-122.2566367
CA,Victorville,34.5362184,-117.2927641
CA,Villa park,33.81400620000001,-117.8220723
CA,Visalia,36.3302284,-119.2920585
CA,Vista,33.2000368,-117.2425355
CA,Walnut,34.0202894,-117.8653386
CA,Walnut creek,37.9100783,-122.0651819
CA,Wasco,35.5941238,-119.3409457
CA,Waterford,37.6413202,-120.7604834
CA,Watsonville,36.910231,-121.7568946
CA,West covina,34.0686208,-117.9389526
CA,West hollywood,34.0900091,-118.3617443
CA,Westlake village,34.1466467,-118.8073729
CA,Westminster,33.7591757,-117.9897058
CA,West sacramento,38.5804609,-121.530234
CA,Whittier,33.9791793,-118.032844
CA,Wildomar,33.5989126,-117.2800372
CA,Williams,39.1546137,-122.1494187
CA,Willows,39.5243265,-122.1935931
CA,Windsor,38.5471327,-122.8163802
CA,Winters,38.5249065,-121.9708017
CA,Woodlake,36.4135605,-119.0987176
CA,Woodland,38.67851570000001,-121.7732971
CA,Woodside,37.4299388,-122.2538557
CA,Yorba linda,33.88850350000001,-117.8132571
CA,Yreka,41.7354186,-122.6344709
CA,Yuba city,39.1404477,-121.6169108
CA,Yucaipa,34.033625,-117.0430865
CA,Yucca valley,34.1141743,-116.432235
CO,Alamosa,37.4694491,-105.8700214
CO,Arvada,39.8027644,-105.0874842
CO,Aspen,39.1910983,-106.8175387
CO,Aurora,39.7294319,-104.8319195
CO,Avon,39.6330673,-106.5222196
CO,Berthoud,40.3083174,-105.0810924
CO,Boulder,40.0149856,-105.2705456
CO,Brighton,39.9852617,-104.8205283
CO,Brush,40.2588686,-103.6238367
CO,Carbondale,39.4022054,-107.2111628
